generate_action_link_key_subject_email	creation	création
sign_up_email_msg	Welcome!\r\nTo confirm your email address, please click on this link:	Bienvenue !\r\nPour confirmer votre adresse e-mail, cliquer sur ce lien :
email_already_exists	Email already exists	Cet e-mail existe déjà
user_does_not_exist	user does not exist	Cet utilisateur n'existe pas
account_not_activated	Account not activated	Ce compte n'est pas activé
wrong_password	Wrong password	Mauvais mot de passe
add_email_msg	Welcome!\r\nTo confirm your email address, please click on this link:	Bienvenue !\r\nPour confirmer votre adresse e-mail, cliquez sur ce lien :
invalid_action_key	Invalid action key, please ask for a new one.	Clef d'action invalide. Demandez en un nouveau svp.
forgot_pwd_email_msg	Hi,\r\nTo set a new password, please click on this link: Bonjour,\r\nPour mettre à jour votre mot de passe, cliquez sur ce lien :
must_be_connected_to_see_page	You must be connected to see this page.	Vous devez être connecté pour voir cette page.
email_address	Email address	Adresse e-mail
your_first_name	Your first name	Votre prénom
your_last_name	Your last name	Votre nom
submit	{{{capitalize?S||s}}}ubmit	{{{capitalize?E||e}}}nvoyer
see_help_again_from_beginning	See help again from beginning	Revoir l'aide depuis le début
personal_information_not_set	Your personal information has not been set yet.	Vous n'avez pas encore entré vos données personnelles.
take_time_enter_name_password	Please take time to enter your name and to set a password.	Veuillez entrer votre nom et choisir un mot de passe svp.
wrong_data_fix	Wrong data. Please fix.	Données incorrectes. Veuillez corriger.
send	{{{capitalize?S||s}}}end	{{{capitalize?E||e}}}nvoyer
recover_password	{{{capitalize?R||r}}}ecover password	{{{capitalize?R||r}}}écupérer le mot de passe.
welcome	{{{capitalize?W||w}}}elcome!	{{{capitalize?B||b}}}ienvenue !
log_in_to_see_page	{{{capitalize?L||l}}}og in to see this page.	{{{capitalize?C||c}}}onnectez-vous pour voir cette page.
you_click_on_date	You clicked on {{y}}/{{m}}/{{d}}	Vous avez cliqué sur {{d}}/{{m}}/{{y}}
you_click_on_time	You clicked on {{h}}:{{m}}	Vous avez cliqué sur {{h}}:{{m}}
this_page_show_calendar	This page shows Ocsigen Toolkit's date picker.	Cette page montre le sélecteur de date d'Ocsigen Toolkit.
ot_carousel_first_example_1	This is a first example of Ocsigen Toolkit's carousel.	Voici le premier exemple du carousel d'Ocsigen Toolkit.
ot_carousel_first_example_2	The carousel displays a number of blocks side-by-side (or vertically stacked).	Le carousel sert à afficher des blocs côte-à-côte (ou empilés verticalement).
ot_carousel_first_example_3	To switch to a different block, use the buttons in the carousel.	Pour vous rendre sur un autre bloc, utilisez les boutons dans le carousel.
ot_carousel_first_example_4	On touch screens you can also swipe with your fingers.	Sur les écrans tactiles, swipez avec les doigts.
ot_carousel_second_example_1	This page demonstrates how to use Ocsigen Toolkit's carousel to display a page with several tabs.	Cette page montre comment utiliser le carousel d'Ocsigen Toolkit pour afficher une page avec des onglets.
ot_carousel_second_example_2	Try to swipe on a touch screen.	Sur écran tactile, glissez pour changer d'onglet.
ot_carousel_second_example_3	Try on a small screen or browser window to see how the tabs stick on top while scrolling the page.	Essayez sur un petit écran pour voir comment la barre d'onglets se fixe en haut de la page quand vous faites défiler la page vers le bas.
monday	Monday	Lundi
tuesday	Tuesday	Mardi
wednesday	Wednesday	Mercredi
thursday	Thursday	Jeudi
friday	Friday	Vendredi
saturday	Saturday	Samedi
sunday	Sunday	Dimanche
exchange_msg_between_users	Module {{os_notif}} enables sending information to client applications (notifications, new messages ...).	Le module {{os_notif}} permet des données aux applications client (notifications, nouveaux messages,...).
open_multiple_tabs_browsers	Open this page in multiple tabs or browsers.	Ouvrez cette page dans plusieurs onglets et fenêtres.
fill_input_form_send_message	Fill in the input form to send a message to all other tabs.	Remplissez le formulaire pour envoyer un message à tous vos autres onglets ouverts.
send_message	send message	envoyer le message
no_user_create_accounts	No user. Create some accounts to test.	Aucun utilisateur. Créez quelques comptes pour tester.
change_profile_picture	Change profile picture	Changer votre photo de profil.
users	Users	Utilisateurs
you_are_not_connected	You are not connected.	Vous n'êtes pas connecté.
you_are	You are	Vous êtes
your_user_id	Your user id	Votre ID utilisateur
the_module	The module	Le module
allows_get_information_currently_connected_user	provides information about the currently connected user (server or client side).	vous autorise à obtenir les information de l'utilisateur courant connecté (côté serveur ou côté client).
these_functions_called_server_or_client_side	These functions can be called from either server- or client-side.	Ces fonctions peuvent être appelées aussi bien côté client que côté serveur.
always_get_current_user_using_module	Always get the current user id using module	Récupérez toujours l'ID de l'utilisateur courant en utilisant le module
never_trust_client_pending_user_id	Never trust a client sending its own user id!	Ne faites jamais confiance à un client envoyant son propre ID d'utilisateur !
internationalization	{{{capitalize?I||i}}}nternationalization	{{{capitalize?I||i}}}nternationalisation
internationalization_1	Ocsigen Start uses Ocsigen-i18n for internationalizing your app. Ocsigen-i18n defines a PPX syntax extension for automatically selecting language-dependent text for each user. The user can choose his preferred language from the settings page. By default the browser's language is used.	Ocsigen Start utilise Ocsigen-i18n for internationaliser les applications. Ocsigen-i18n définit une extension de syntaxe PPX qui sélectionne automatiquement les textes en fonction de la langue de l'utilisateur courant. L'utilisateur peut choisir sa langue préférée dans la page de paramètres. Par défaut, la langue du navigateur est utilisée.
internationalization_2	Write your translations (as tab-separated-values) in file {{f1}}. File {{f2}} is generated automatically from this file.	Écrivez vos traductions (au format "tab-separated-values") dans le fichier {{f1}}. Le fichier {{f2}} est généré automatiquement à partir de ce fichier.
internationalization_3	Have a look at the OCaml code of this page to discover some features of the module Ocsigen-i18n.	Jetez un coup d'œil au code OCaml de cette page pour découvrir quelques astuces du module Ocsigen-i18n.
links_and_static_files	Links, services and static files	Liens, services et fichiers statiques
services	Services	Services
services_1	Have a look at file {{f1}} to see some examples of service definitions. Most service handlers are defined in file {{f2}}. Service registration is done in {{f3}}. Have a look to see how to define a service returning an application page, an action or a redirection, etc. Read Ocsigen's tutorials and Eliom's manual for more information about services.	Vous trouverez des exemples de définition de services dans le fichier {{f1}}. La plupart des handlers de services sont définis dans le fichier {{f2}}. L'enregistrement des services est fait dans le fichier {{f3}}. Jetez-y un œil pour voir comment définir une nouvelle page pour cette application, une action, une redirection, etc. Lisez les tutoriels d'Ocsigen et le manuel d'Eliom pour plus d'informations sur les services.
links_and_forms	Links and forms	Liens et formulaires
links_and_forms_1	Here is an example of an {{t1}}, and an example of link towards an {{t2}}.	Voici un exemple de {{t1}}, et un exemple de lien vers un {{t2}}.
internal_link	internal link	lien interne
external_service	external service	service externe
static_files	Static files	Fichiers statiques
static_files_1	Use service {{static_dir}} (predefined in Eliom) to create links towards static files (images, fonts, etc.). Put static files you want to include in the mobile app in directory {{static}}. They will be stored locally on the mobile device. By default, links are relative on the Web app and absolute on the mobile app. For example, here is an example of an image stored locally in the mobile app:	Utilisez le service {{static_dir}} (prédéfini dans Eliom) pour faire des liens vers des fichiers statiques (images, fontes, etc.). Les fichiers statiques que vous voulez inclure dans l'application mobile doivent être placés dans le répertoire {{static}}. Ils seront stockés en local sur l'appareil mobile. Par défaut les liens sont relatifs dans l'application Web et absolus dans l'application mobile. Forcez les liens relatifs pour faire des liens vers des fichiers locaux dans l'application mobile. Par exemple voici une image stockée localement dans l'application mobile :
static_files_2	and a remote image:	et une image distante :
change_language	Change language	Changer la langue
tips1	Tips for new users and new features	Astuces pour les nouveaux utilisateurs et nouvelles fonctionnalités
tips2	Module {{os_tips}} implements a way to display tips in the page to the users who haven't already seen them.	Le module {{os_tips}} implémente une façon d'afficher des astuces dans la page aux utilisateurs qui ne les ont pas déjà vues.
tips3	This page contains a tip, that you will see only as connected user, until you close it.	Cette page contient une astuce, que vous allez voir seulement en tant qu'utilisateur connecté, jusqu'à ce que vous la fermiez.
tips4	It is possible to reset the set of already seen tips from the {{set_page}}.	Il est possible de réinitialiser l'ensemble des astuces déjà vues depuis la page {{set_page}}.
tips5	settings page	page Paramètres
general_principles	General principles	Principes généraux
welcome_text	Welcome to the Megagames Administration Website	Bienvenue au site d'administration des Megagame
maw_name	Megagames Administration Website	Site d'administration des Megagame
dashboard	Dashboard	Tableau de bord
tbc	TBC	À confirmer
my_games	My games	Mes jeux
upcoming_games	Upcoming games	Jeux à venir
designed_by	Designed by	Conçu par
no_description	No game description has yet been entered.	Aucune description n'a encore été fournie.
not_game_designer	You are not the designer of this game.	Vous n'êtes pas le concepteur de ce jeu.
game_location	Location	Lieu
game_date	Date	Date
game_description	Description	Description
data_saved	Data saved	Données sauvegardées.
administration	{{{capitalize?A||a}}}dministration	{{{capitalize?A||a}}}dministration
add_admin	Add new administrator	Ajouter un nouveau administrateur
not_admin	You are not an administrator.	Vous n'êtes pas un administrateur.
